Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
226-31-3081,C,Port Harcourt,Normal,Female,Electronic accessories,5500.8,5,1375.2,28879.2,3/8/2019,10:29,Cash,27504,4.761904762,1375.2,9.6
699-14-3026,C,Port Harcourt,Normal,Male,Electronic accessories,30740.4,7,10759.14,225941.94,3/25/2019,18:30,Epay,215182.8,4.761904762,10759.14,4.1
315-22-5665,C,Port Harcourt,Normal,Female,Home and lifestyle,26481.6,10,13240.8,278056.8,2/24/2019,11:38,Epay,264816,4.761904762,13240.8,8
300-71-4605,C,Port Harcourt,Member,Male,Electronic accessories,30974.4,5,7743.6,162615.6,2/25/2019,11:24,Epay,154872,4.761904762,7743.6,4.8
183-56-6882,C,Port Harcourt,Member,Female,Food and beverages,35791.2,4,7158.24,150323.04,2/6/2019,10:42,Epay,143164.8,4.761904762,7158.24,7.5
232-16-2483,C,Port Harcourt,Member,Female,Sports and travel,24523.2,1,1226.16,25749.36,1/7/2019,12:28,Epay,24523.2,4.761904762,1226.16,6.8
333-73-7901,C,Port Harcourt,Normal,Female,Health and beauty,19771.2,8,7908.48,166078.08,3/23/2019,13:24,Epay,158169.6,4.761904762,7908.48,7.6
554-53-8700,C,Port Harcourt,Member,Male,Home and lifestyle,20199.6,2,2019.96,42419.16,2/2/2019,10:11,Cash,40399.2,4.761904762,2019.96,6.3
228-96-1411,C,Port Harcourt,Member,Female,Food and beverages,35532,8,14212.8,298468.8,3/4/2019,20:39,Cash,284256,4.761904762,14212.8,7.6
617-15-4209,C,Port Harcourt,Member,Male,Health and beauty,5533.2,2,553.32,11619.72,3/16/2019,19:47,Cash,11066.4,4.761904762,553.32,7.2
574-22-5561,C,Port Harcourt,Member,Female,Fashion accessories,29746.8,10,14873.4,312341.4,3/19/2019,17:08,Epay,297468,4.761904762,14873.4,7.9
326-78-5178,C,Port Harcourt,Member,Male,Food and beverages,32904,7,11516.4,241844.4,2/3/2019,10:19,Cash,230328,4.761904762,11516.4,9.5
778-71-5554,C,Port Harcourt,Member,Male,Fashion accessories,5554.8,1,277.74,5832.54,1/25/2019,15:46,Card,5554.8,4.761904762,277.74,6.1
399-46-5918,C,Port Harcourt,Normal,Female,Electronic accessories,30952.8,8,12381.12,260003.52,2/28/2019,19:01,Cash,247622.4,4.761904762,12381.12,8.2
120-06-4233,C,Port Harcourt,Normal,Male,Electronic accessories,11019.6,6,3305.88,69423.48,3/12/2019,20:36,Cash,66117.6,4.761904762,3305.88,9.3
285-68-5083,C,Port Harcourt,Member,Female,Sports and travel,8906.4,3,1335.96,28055.16,2/15/2019,17:47,Card,26719.2,4.761904762,1335.96,10
803-83-5989,C,Port Harcourt,Normal,Male,Home and lifestyle,20062.8,6,6018.84,126395.64,2/24/2019,10:55,Epay,120376.8,4.761904762,6018.84,7
838-78-4295,C,Port Harcourt,Normal,Female,Health and beauty,12049.2,2,1204.92,25303.32,2/10/2019,15:43,Epay,24098.4,4.761904762,1204.92,6.7
393-65-2792,C,Port Harcourt,Normal,Male,Food and beverages,32212.8,10,16106.4,338234.4,1/6/2019,12:46,Card,322128,4.761904762,16106.4,9.6
796-12-2025,C,Port Harcourt,Normal,Male,Fashion accessories,22363.2,10,11181.6,234813.6,2/11/2019,16:19,Cash,223632,4.761904762,11181.6,5.9
841-35-6630,C,Port Harcourt,Normal,Female,Electronic accessories,27327.6,6,8198.28,172163.88,3/9/2019,18:21,Cash,163965.6,4.761904762,8198.28,8.7
732-94-0499,C,Port Harcourt,Normal,Female,Electronic accessories,14994,10,7497,157437,1/13/2019,17:04,Card,149940,4.761904762,7497,5.4
263-10-3913,C,Port Harcourt,Member,Male,Fashion accessories,17654.4,9,7944.48,166834.08,1/9/2019,14:20,Card,158889.6,4.761904762,7944.48,8.6
829-49-1914,C,Port Harcourt,Member,Female,Food and beverages,28191.6,10,14095.8,296011.8,3/5/2019,16:24,Epay,281916,4.761904762,14095.8,6.6
756-01-7507,C,Port Harcourt,Normal,Female,Health and beauty,7336.8,5,1834.2,38518.2,1/22/2019,18:56,Cash,36684,4.761904762,1834.2,6
870-72-4431,C,Port Harcourt,Normal,Female,Health and beauty,35708.4,6,10712.52,224962.92,1/21/2019,14:42,Card,214250.4,4.761904762,10712.52,5.5
480-63-2856,C,Port Harcourt,Normal,Male,Food and beverages,6930,8,2772,58212,1/23/2019,18:37,Epay,55440,4.761904762,2772,6.6
787-56-0757,C,Port Harcourt,Member,Female,Food and beverages,28929.6,4,5785.92,121504.32,2/23/2019,18:45,Card,115718.4,4.761904762,5785.92,8.3
360-39-5055,C,Port Harcourt,Member,Male,Sports and travel,17607.6,5,4401.9,92439.9,3/9/2019,10:17,Cash,88038,4.761904762,4401.9,6.6
730-50-9884,C,Port Harcourt,Normal,Female,Sports and travel,29901.6,7,10465.56,219776.76,3/5/2019,14:31,Epay,209311.2,4.761904762,10465.56,4
362-58-8315,C,Port Harcourt,Normal,Male,Fashion accessories,27547.2,5,6886.8,144622.8,3/25/2019,10:23,Cash,137736,4.761904762,6886.8,9.9
565-80-5980,C,Port Harcourt,Member,Female,Home and lifestyle,17056.8,4,3411.36,71638.56,1/23/2019,10:25,Cash,68227.2,4.761904762,3411.36,7.1
225-32-0908,C,Port Harcourt,Normal,Female,Sports and travel,16149.6,10,8074.8,169570.8,1/26/2019,19:54,Epay,161496,4.761904762,8074.8,8.2
512-91-0811,C,Port Harcourt,Normal,Male,Health and beauty,32310,1,1615.5,33925.5,2/6/2019,20:05,Card,32310,4.761904762,1615.5,6.6
871-39-9221,C,Port Harcourt,Normal,Female,Electronic accessories,4482,6,1344.6,28236.6,2/9/2019,13:11,Cash,26892,4.761904762,1344.6,4.1
163-56-7055,C,Port Harcourt,Member,Male,Fashion accessories,17535.6,1,876.78,18412.38,3/26/2019,19:20,Cash,17535.6,4.761904762,876.78,4.1
189-98-2939,C,Port Harcourt,Normal,Male,Fashion accessories,28278,9,12725.1,267227.1,3/1/2019,13:22,Cash,254502,4.761904762,12725.1,7.2
551-21-3069,C,Port Harcourt,Normal,Female,Electronic accessories,8305.2,9,3737.34,78484.14,2/1/2019,11:27,Cash,74746.8,4.761904762,3737.34,4.9
628-34-3388,C,Port Harcourt,Normal,Male,Fashion accessories,9856.8,6,2957.04,62097.84,1/5/2019,20:54,Card,59140.8,4.761904762,2957.04,7.9
588-01-7461,C,Port Harcourt,Normal,Female,Food and beverages,12232.8,9,5504.76,115599.96,3/24/2019,10:43,Cash,110095.2,4.761904762,5504.76,4.2
861-77-0145,C,Port Harcourt,Member,Male,Electronic accessories,29509.2,10,14754.6,309846.6,3/3/2019,14:30,Cash,295092,4.761904762,14754.6,9.2
210-67-5886,C,Port Harcourt,Member,Female,Health and beauty,35355.6,3,5303.34,111370.14,2/5/2019,10:41,Card,106066.8,4.761904762,5303.34,7.8
237-01-6122,C,Port Harcourt,Member,Female,Home and lifestyle,29084.4,9,13087.98,274847.58,2/1/2019,20:31,Card,261759.6,4.761904762,13087.98,9.5
225-98-1496,C,Port Harcourt,Normal,Female,Fashion accessories,9727.2,3,1459.08,30640.68,3/2/2019,13:01,Card,29181.6,4.761904762,1459.08,7.1
659-36-1684,C,Port Harcourt,Member,Male,Sports and travel,20563.2,7,7197.12,151139.52,1/12/2019,12:02,Card,143942.4,4.761904762,7197.12,6.5
336-78-2147,C,Port Harcourt,Member,Male,Home and lifestyle,23007.6,8,9203.04,193263.84,3/13/2019,19:52,Card,184060.8,4.761904762,9203.04,4.6
189-08-9157,C,Port Harcourt,Normal,Female,Fashion accessories,11422.8,9,5140.26,107945.46,1/8/2019,16:17,Card,102805.2,4.761904762,5140.26,5.9
663-86-9076,C,Port Harcourt,Member,Female,Food and beverages,24674.4,8,9869.76,207264.96,1/8/2019,15:57,Epay,197395.2,4.761904762,9869.76,8.5
483-71-1164,C,Port Harcourt,Normal,Female,Health and beauty,29268,6,8780.4,184388.4,3/8/2019,16:43,Epay,175608,4.761904762,8780.4,5.3
597-78-7908,C,Port Harcourt,Normal,Male,Fashion accessories,32479.2,3,4871.88,102309.48,2/18/2019,19:39,Cash,97437.6,4.761904762,4871.88,6.2
731-81-9469,C,Port Harcourt,Member,Female,Sports and travel,32328,10,16164,339444,1/23/2019,13:00,Card,323280,4.761904762,16164,5.4
280-17-4359,C,Port Harcourt,Member,Male,Health and beauty,32580,10,16290,342090,1/25/2019,13:48,Cash,325800,4.761904762,16290,8.1
338-65-2210,C,Port Harcourt,Member,Female,Health and beauty,24696,10,12348,259308,2/5/2019,19:57,Cash,246960,4.761904762,12348,9.1
488-25-4221,C,Port Harcourt,Member,Female,Food and beverages,10947.6,1,547.38,11494.98,2/22/2019,10:36,Card,10947.6,4.761904762,547.38,8.4
458-41-1477,C,Port Harcourt,Normal,Female,Health and beauty,16653.6,6,4996.08,104917.68,3/8/2019,17:11,Card,99921.6,4.761904762,4996.08,9.5
568-90-5112,C,Port Harcourt,Normal,Male,Health and beauty,23810.4,4,4762.08,100003.68,3/19/2019,12:46,Card,95241.6,4.761904762,4762.08,5.6
